molecule_chembl_id,relation,standard_relation,standard_units,standard_value,units,value,target
CHEMBL281947,=,=,nM,230.0,uM,0.23,aromatase
CHEMBL26543,=,=,nM,2000.0,uM,2.0,aromatase
CHEMBL27546,=,=,nM,97.0,uM,0.097,aromatase
CHEMBL286506,=,=,nM,62.0,uM,0.062,aromatase
CHEMBL281947,=,=,nM,150.0,uM,0.15,aromatase
CHEMBL281947,=,=,nM,12.0,uM,0.012,aromatase
CHEMBL281947,=,=,nM,780.0,uM,0.78,aromatase
CHEMBL26651,=,=,nM,23.0,uM,0.023,aromatase
CHEMBL27591,=,=,nM,31.0,uM,0.031,aromatase
CHEMBL28173,=,=,nM,49.0,uM,0.049,aromatase
CHEMBL28290,=,=,nM,240.0,uM,0.24,aromatase
CHEMBL27467,=,=,nM,13.0,uM,0.013,aromatase
CHEMBL27467,=,=,nM,70.0,uM,0.07,aromatase
CHEMBL27698,=,=,nM,111.0,uM,0.111,aromatase
CHEMBL27767,=,=,nM,777000.0,uM,777.0,aromatase
CHEMBL29482,=,=,nM,3.5,nM,3.5,aromatase
CHEMBL311077,=,=,nM,38000.0,uM,38.0,aromatase
CHEMBL424162,=,=,nM,1000.0,M,0.000001,aromatase
CHEMBL349514,>,>,nM,1000.0,M,0.000001,aromatase
CHEMBL2112309,=,=,nM,26000.0,uM,26.0,aromatase
CHEMBL349704,=,=,nM,12.0,M,1.2E-8,aromatase
CHEMBL165279,>,>,nM,1000.0,M,0.000001,aromatase
CHEMBL443530,=,=,nM,44000.0,uM,44.0,aromatase
CHEMBL488,=,=,nM,1900.0,nM,1900.0,aromatase
CHEMBL352891,>,>,nM,1000.0,M,0.000001,aromatase
CHEMBL81255,=,=,nM,100000.0,uM,100.0,aromatase
CHEMBL31760,=,=,nM,0.7,nM,0.7,aromatase
CHEMBL309656,=,=,nM,4000.0,uM,4.0,aromatase
CHEMBL83835,=,=,nM,1200.0,uM,1.2,aromatase
CHEMBL349919,>,>,nM,10000.0,M,0.00001,aromatase
CHEMBL349963,=,=,nM,400.0,M,4E-7,aromatase
CHEMBL353571,=,=,nM,570.0,M,5.7E-7,aromatase
CHEMBL164746,>,>,nM,10000.0,M,0.00001,aromatase
CHEMBL1629805,=,=,nM,270.0,uM,0.27,aromatase
CHEMBL166017,>,>,nM,10000.0,M,0.00001,aromatase
CHEMBL164821,>,>,nM,1000.0,M,0.000001,aromatase
CHEMBL164993,=,=,nM,42.0,M,4.2E-8,aromatase
CHEMBL165925,=,=,nM,10000.0,M,0.00001,aromatase
CHEMBL165218,=,=,nM,870.0,M,8.7E-7,aromatase
CHEMBL350713,=,=,nM,330.0,M,3.3E-7,aromatase
CHEMBL81134,=,=,nM,5900.0,uM,5.9,aromatase
CHEMBL31456,=,=,nM,7.7,nM,7.7,aromatase
CHEMBL347302,,,nM,,nM,,aromatase
CHEMBL31215,=,=,nM,3.2,nM,3.2,aromatase
CHEMBL350074,=,=,nM,22.0,M,2.2E-8,aromatase
CHEMBL166032,>,>,nM,1000.0,M,0.000001,aromatase
CHEMBL164543,=,=,nM,50.0,M,5E-8,aromatase
CHEMBL82981,=,=,nM,62000.0,uM,62.0,aromatase
CHEMBL165552,>,>,nM,1000.0,M,0.000001,aromatase
CHEMBL151096,,,nM,,nM,,aromatase
CHEMBL1629804,=,=,nM,530.0,uM,0.53,aromatase
CHEMBL285809,=,=,nM,233.0,nM,233.0,aromatase
CHEMBL351850,>,>,nM,1000.0,M,0.000001,aromatase
CHEMBL166148,>,>,nM,1000.0,M,0.000001,aromatase
CHEMBL287677,=,=,nM,680.0,nM,680.0,aromatase
CHEMBL31224,=,=,nM,2.9,nM,2.9,aromatase
CHEMBL81948,,,nM,,nM,,aromatase
CHEMBL351526,=,=,nM,270.0,M,2.7E-7,aromatase
CHEMBL351226,>,>,nM,1000.0,M,0.000001,aromatase
CHEMBL349851,>,>,nM,1000.0,M,0.000001,aromatase
CHEMBL440691,=,=,nM,2300.0,uM,2.3,aromatase
CHEMBL83422,=,=,nM,4100.0,uM,4.1,aromatase
CHEMBL132530,=,=,nM,410.0,uM,0.41,aromatase
CHEMBL166060,>,>,nM,10000.0,M,0.00001,aromatase
CHEMBL439950,=,=,nM,7300.0,uM,7.3,aromatase
CHEMBL165106,=,=,nM,50.0,M,5E-8,aromatase
CHEMBL423096,>,>,nM,1000.0,M,0.000001,aromatase
CHEMBL424185,>,>,nM,10000.0,M,0.00001,aromatase
CHEMBL166079,>,>,nM,1000.0,M,0.000001,aromatase
CHEMBL165342,=,=,nM,7400.0,M,0.0000074,aromatase
CHEMBL93828,=,=,nM,210.0,uM,0.21,aromatase
CHEMBL91992,=,=,nM,8600.0,uM,8.6,aromatase
CHEMBL419131,=,=,nM,13000.0,uM,13.0,aromatase
CHEMBL313774,=,=,nM,3000.0,uM,3.0,aromatase
CHEMBL91818,=,=,nM,6200.0,uM,6.2,aromatase
CHEMBL90585,=,=,nM,9300.0,uM,9.3,aromatase
CHEMBL88233,=,=,nM,3300.0,uM,3.3,aromatase
CHEMBL488,=,=,nM,37000.0,uM,37.0,aromatase
CHEMBL488,=,=,nM,37000.0,uM,37.0,aromatase
CHEMBL90077,=,=,nM,4900.0,uM,4.9,aromatase
CHEMBL93666,=,=,nM,9600.0,uM,9.6,aromatase
CHEMBL93828,=,=,nM,170.0,uM,0.17,aromatase
CHEMBL91101,=,=,nM,6300.0,uM,6.3,aromatase
CHEMBL328217,=,=,nM,8900.0,uM,8.9,aromatase
CHEMBL93666,=,=,nM,7900.0,uM,7.9,aromatase
CHEMBL93828,=,=,nM,200.0,uM,0.2,aromatase
CHEMBL92065,=,=,nM,4300.0,uM,4.3,aromatase
CHEMBL93666,=,=,nM,8500.0,uM,8.5,aromatase
CHEMBL92488,=,=,nM,690.0,uM,0.69,aromatase
CHEMBL90427,=,=,nM,2200.0,uM,2.2,aromatase
CHEMBL1629804,=,=,nM,0.06,nM,0.06,aromatase
CHEMBL307006,>,>,nM,50.0,nM,50.0,aromatase
CHEMBL73367,=,=,nM,1.6,nM,1.6,aromatase
CHEMBL305630,=,=,nM,9.0,nM,9.0,aromatase
CHEMBL70317,=,=,nM,0.44,nM,0.44,aromatase
CHEMBL307690,=,=,nM,0.32,nM,0.32,aromatase
CHEMBL73279,=,=,nM,0.36,nM,0.36,aromatase
CHEMBL69891,=,=,nM,14.0,nM,14.0,aromatase
CHEMBL72056,>,>,nM,50.0,nM,50.0,aromatase
CHEMBL307643,=,=,nM,0.19,nM,0.19,aromatase
CHEMBL310735,=,=,nM,0.037,nM,0.037,aromatase
CHEMBL73368,>,>,nM,50.0,nM,50.0,aromatase
CHEMBL308537,=,=,nM,0.13,nM,0.13,aromatase
CHEMBL307581,=,=,nM,0.12,nM,0.12,aromatase
CHEMBL70959,=,=,nM,3.7,nM,3.7,aromatase
CHEMBL305205,=,=,nM,0.049,nM,0.049,aromatase
CHEMBL73071,=,=,nM,43.0,nM,43.0,aromatase
CHEMBL72415,=,=,nM,12.0,nM,12.0,aromatase
CHEMBL74295,>,>,nM,50.0,nM,50.0,aromatase
CHEMBL70436,=,=,nM,0.11,nM,0.11,aromatase
CHEMBL72538,>,>,nM,50.0,nM,50.0,aromatase
CHEMBL306022,=,=,nM,3.3,nM,3.3,aromatase
CHEMBL72228,=,=,nM,0.16,nM,0.16,aromatase
CHEMBL73993,=,=,nM,0.05,nM,0.05,aromatase
CHEMBL304770,=,=,nM,0.26,nM,0.26,aromatase
CHEMBL73219,>,>,nM,50.0,nM,50.0,aromatase
CHEMBL74339,=,=,nM,1.3,nM,1.3,aromatase
CHEMBL304305,=,=,nM,0.23,nM,0.23,aromatase
CHEMBL430879,=,=,nM,100.0,nM,100.0,aromatase
CHEMBL325346,=,=,nM,39.0,nM,39.0,aromatase
CHEMBL488,=,=,mg kg-1,250.0,mg kg-1,250.0,aromatase
CHEMBL322322,=,=,nM,2.3,nM,2.3,aromatase
CHEMBL108483,=,=,nM,0.82,nM,0.82,aromatase
CHEMBL99057,=,=,nM,3300.0,uM,3.3,aromatase
CHEMBL108425,=,=,nM,0.5,nM,0.5,aromatase
CHEMBL317581,=,=,nM,30.0,uM,0.03,aromatase
CHEMBL108646,=,=,nM,12.0,nM,12.0,aromatase
CHEMBL134748,>,>,nM,20000.0,uM,20.0,aromatase
CHEMBL134442,=,=,nM,440.0,uM,0.44,aromatase
CHEMBL135095,=,=,nM,1700.0,uM,1.7,aromatase
CHEMBL134509,=,=,nM,9100.0,uM,9.1,aromatase
CHEMBL3084923,=,=,nM,40000.0,uM,40.0,aromatase
CHEMBL134169,=,=,nM,35000.0,uM,35.0,aromatase
CHEMBL131984,=,=,nM,5600.0,uM,5.6,aromatase
CHEMBL132072,=,=,nM,120.0,uM,0.12,aromatase
CHEMBL135037,=,=,nM,8900.0,uM,8.9,aromatase
CHEMBL337251,=,=,nM,30000.0,uM,30.0,aromatase
CHEMBL3084924,=,=,nM,10800.0,uM,10.8,aromatase
CHEMBL132380,=,=,nM,55000.0,uM,55.0,aromatase
