molecule_chembl_id,canonical_smiles
CHEMBL28290,COc1ccc(CN2C(=O)C3CC(c4ccc(N)cc4)(C3)C2=O)cc1
CHEMBL27467,Nc1ccc(C23CC(C2)C(=O)N(C2CCCCC2)C3=O)cc1
CHEMBL26543,Nc1ccc(C23CC(C2)C(=O)NC3=O)cc1
CHEMBL287574,Nc1ccc(C23CC2C(=O)NC3=O)cc1
CHEMBL31760,C=C(c1ccc(C#N)cc1)n1ccnc1
CHEMBL29482,N#Cc1ccc(C(c2ccc(C#N)cc2)n2ccnc2)cc1
CHEMBL289766,CCCCCCCCCC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL39840,CCCCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O
CHEMBL38472,CCCCCCCCC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL40125,CCCCC1(c2ccncc2)CCC(=O)NC1=O
CHEMBL311077,CC(=O)OCC12CCCC=C1CCC1C2CCC2(C)C(OC(C)=O)CCC12
CHEMBL83835,CC12CCC3C(CCC4=CCCCC43C(F)F)C1CCC2=O
CHEMBL81255,CC(=O)OC1CCC2C3CCC4=CCCCC4(CO)C3CCC12C
CHEMBL309656,CC(=O)OCC12CCCC=C1CCC1C3CCC(=O)C3(C)CCC12
CHEMBL443530,CC(=O)OCC12CCCC=C1CCC1C2CCC2(C)C(O)CCC12
CHEMBL113121,C#CC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12
CHEMBL113082,C#CC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12
CHEMBL109211,C#CC[C@@H]1CC2C(CCC3(C)C(=O)CCC23)C2CCC(=O)C=C21
CHEMBL113739,C#CC[C@H]1CC2C(CCC3(C)C(=O)CCC23)C2CCC(=O)C=C21
CHEMBL353571,CSCSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12
CHEMBL424162,C#CCSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12
CHEMBL164993,CSC(=O)C[C@]12CCC(=O)C=C1CCC1C2CC[C@]2(C)C(=O)CCC12
CHEMBL349704,CSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12
CHEMBL350713,C#CSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12
CHEMBL349963,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSc3ccccc3)C1CCC2=O
CHEMBL165218,CCSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12
CHEMBL165925,COCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12
CHEMBL169086,O=C1/C(=C/c2cncs2)CCc2ccccc21
CHEMBL1630266,C[C@]12CC[C@H]3[C@@H](C[C@H](O)C4=CCCC[C@@]43CO)[C@@H]1CCC2=O
CHEMBL1630911,C[C@]12CC[C@H]3[C@@H](CC=C4CCCC[C@@]43CO)[C@@H]1CCC2=O
CHEMBL2105261,C#CC[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL2111917,CC(=O)O[C@@H]1CCC[C@@]2(C)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL2112309,C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43C(F)F)[C@@H]1CC[C@@H]2O
CHEMBL2311169,C[C@]12CCCCC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL31456,N#Cc1ccc(/C(=N\c2ccc(Br)cc2)n2ccnc2)cc1
CHEMBL31224,N#Cc1ccc2c(c1)CCC=C2n1ccnc1
CHEMBL287677,N#Cc1ccc([C@H]2CCCc3cncn32)cc1
CHEMBL285809,N#Cc1ccc(C2(c3ccc(C#N)cc3)CCCc3cncn32)cc1
CHEMBL31215,N#Cc1ccc([C@@H]2CCCc3cncn32)cc1
CHEMBL305205,C[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12
CHEMBL305630,CCCCC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12
CHEMBL70317,CCC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12
CHEMBL74339,CC[C@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12
CHEMBL308537,CO[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12
CHEMBL310735,C[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12
CHEMBL70436,CC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12
CHEMBL304305,CCC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12
CHEMBL70959,C[C@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12
CHEMBL304770,CC(=O)O[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12
CHEMBL73993,CC12CCC3C(C[C@@H](O)C4=CCCCC43C)C1CCC2=O
CHEMBL72228,CC(=O)O[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12
CHEMBL307690,CC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12
CHEMBL307581,CO[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12
CHEMBL72415,CCCCC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12
CHEMBL307643,CC12CCC3C(C[C@H](O)C4=CCCCC43C)C1CCC2=O
CHEMBL69891,CCC[C@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12
CHEMBL73367,C[C@@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12
CHEMBL306022,CC[C@@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12
CHEMBL73279,CC12CCCC=C1CCC1C2CCC2(C)C1CC[C@@H]2O
CHEMBL73071,CCC[C@@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12
CHEMBL439950,CC12CCCC=C1CCC1C2CCC2(C)C(O)CCC12
CHEMBL83422,CC12CCC3C(CCC4=CCCCC43C)C1C[C@@H](Br)C2=O
CHEMBL440691,CC12CCC3C(CCC4=CCCCC43CO)C1CCC2O
