molecule_chembl_id,molwt,LogP,TPSA,HBD,HBA,RotB
CHEMBL3088258,464.56500000000017,5.319100000000005,69.64,2,3,10
CHEMBL3088263,407.4690000000001,5.858400000000005,51.46,1,3,6
CHEMBL3088264,499.53800000000024,5.835900000000005,68.23,1,5,10
CHEMBL3088268,433.5070000000002,6.6150000000000055,59.3,1,3,7
CHEMBL3088269,447.53400000000016,6.6741000000000055,59.3,1,3,8
CHEMBL3098850,463.4860000000002,5.339400000000003,83.91,1,5,7
CHEMBL3098851,534.6370000000003,6.810500000000006,79.2,1,5,9
CHEMBL3098852,534.6370000000002,6.810500000000006,79.2,1,5,9
CHEMBL3098853,564.6630000000005,6.819100000000007,88.42999999999999,1,6,10
CHEMBL3098854,564.6630000000005,6.819100000000007,88.42999999999999,1,6,10
CHEMBL3098855,550.6360000000004,6.776600000000006,88.42999999999999,1,6,9
CHEMBL3098856,550.6360000000004,6.776600000000006,88.42999999999999,1,6,9
CHEMBL3098857,538.6000000000001,6.907100000000006,79.2,1,5,8
CHEMBL3098943,489.54900000000026,5.251400000000004,93.14,1,6,9
CHEMBL3098944,489.54900000000026,5.251400000000004,93.14,1,6,9
CHEMBL3098945,475.5220000000002,5.208900000000003,93.14,1,6,8
CHEMBL3098946,475.5220000000002,5.208900000000004,93.14,1,6,8
CHEMBL1765367,539.5480000000003,4.237400000000002,142.95,3,9,7
CHEMBL1814100,468.4470000000002,1.35,148.28,1,8,6
CHEMBL1814103,471.9220000000001,2.4853000000000005,105.13999999999999,1,6,5
CHEMBL1829864,587.6980000000001,5.540200000000006,128.11,2,6,9
CHEMBL1829871,586.7100000000002,6.145200000000007,115.22,2,5,9
CHEMBL1829872,629.7790000000005,6.211200000000007,118.46000000000001,2,6,10
CHEMBL2023985,678.7630000000004,6.373320000000007,141.52,2,7,11
CHEMBL3098941,459.52300000000025,5.242800000000004,83.91,1,5,8
CHEMBL3098942,459.52300000000025,5.2428000000000035,83.91,1,5,8
CHEMBL3218925,663.7520000000003,5.6856200000000054,158.30999999999997,3,6,11
CHEMBL3218926,645.7370000000003,6.458400000000006,139.01000000000002,2,6,10
CHEMBL3219331,530.6900000000002,6.444800000000007,77.52,1,6,12
CHEMBL3219332,558.744,7.225000000000008,77.52,1,6,12
CHEMBL3219333,584.7130000000002,7.487700000000007,77.52,1,6,12
CHEMBL3219334,532.7060000000001,6.690800000000007,77.52,1,6,12
CHEMBL3219335,546.7330000000003,7.225000000000008,77.52,1,6,14
CHEMBL3219337,556.6840000000002,6.941600000000007,90.66,1,7,12
CHEMBL3219338,622.8120000000001,8.563300000000005,77.52,1,7,12
CHEMBL3219339,572.771,7.615100000000008,77.52,1,6,12
CHEMBL3219340,572.771,7.615100000000008,77.52,1,6,12
CHEMBL3219341,572.771,7.615100000000008,77.52,1,6,12
CHEMBL3219346,619.7840000000001,6.559500000000006,115.85,2,8,13
CHEMBL3219384,412.9200000000001,6.852120000000005,26.53,0,3,4
CHEMBL3219581,619.7840000000001,6.559500000000006,115.85,2,8,13
CHEMBL3219582,620.7680000000001,6.986500000000008,113.05000000000001,1,9,13
CHEMBL3219583,648.8220000000001,7.766700000000009,113.05000000000001,1,9,15
CHEMBL3219584,662.8490000000002,8.156800000000008,113.05000000000001,1,9,16
CHEMBL3219585,806.982,8.195300000000007,157.94,3,10,17
CHEMBL3219586,778.928,7.71680000000001,168.93999999999997,4,9,16
CHEMBL3219587,748.902,6.806700000000006,148.70999999999998,3,9,17
CHEMBL3219588,720.8480000000002,6.328200000000005,159.71,4,8,16
CHEMBL3219589,677.8230000000001,7.302000000000008,119.61,2,8,15
CHEMBL3219590,649.7690000000001,6.823500000000009,130.60999999999999,3,7,14
CHEMBL3219591,691.85,7.692100000000009,119.61,2,8,16
CHEMBL3219592,663.7960000000002,7.213600000000009,130.60999999999999,3,7,15
CHEMBL3219593,705.877,8.08220000000001,119.61,2,8,17
CHEMBL3219594,677.8230000000002,7.60370000000001,130.60999999999999,3,7,16
CHEMBL3219595,859.0549999999997,8.036900000000008,171.69,2,12,17
CHEMBL3220065,330.38400000000007,2.711800000000001,68.82000000000001,2,4,7
CHEMBL3220069,297.358,2.644400000000001,70.23,3,2,5
CHEMBL3220071,330.30000000000007,2.5024000000000006,127.41,2,5,6
CHEMBL3220072,414.24500000000023,3.9182000000000023,102.73,2,5,7
CHEMBL3220078,396.35900000000015,3.762400000000002,140.55,2,6,7
CHEMBL3220994,437.4770000000001,1.8318999999999999,105.13999999999999,1,6,5
CHEMBL3220995,516.3730000000002,2.5944000000000003,105.13999999999999,1,6,5
CHEMBL3234641,928.126,3.452200000000003,261.99999999999994,9,14,9
CHEMBL3235601,283.415,4.427700000000004,29.43,0,2,1
CHEMBL3235602,283.415,4.427700000000004,29.43,0,2,1
CHEMBL3235603,311.46900000000005,5.063800000000005,29.43,0,2,2
CHEMBL3235604,284.403,3.6947000000000028,41.79,0,3,0
CHEMBL189302,392.458,5.8582000000000045,58.2,2,2,5
CHEMBL524098,428.7010000000003,6.915700000000009,40.46,2,2,6
CHEMBL489548,428.7010000000003,6.915700000000009,40.46,2,2,6
CHEMBL1223852,446.71600000000035,7.761400000000009,54.37,1,3,15
CHEMBL1644111,296.539,6.364100000000007,20.23,1,1,13
CHEMBL3234642,928.126,3.452200000000003,261.99999999999994,9,14,9
CHEMBL3234643,928.126,3.452200000000003,261.99999999999994,9,14,9
CHEMBL3234644,898.0999999999999,4.091300000000003,241.76999999999992,8,13,8
CHEMBL3234645,898.0999999999999,4.091300000000003,241.76999999999992,8,13,8
CHEMBL3234646,912.1270000000003,4.479800000000006,241.76999999999995,8,13,8
CHEMBL3234647,912.1270000000003,4.479800000000006,241.76999999999995,8,13,8
CHEMBL3234648,1090.2670000000003,1.2764000000000053,341.15,12,19,12
CHEMBL3234649,1090.2670000000003,1.2764000000000053,341.15,12,19,12
CHEMBL3234650,1090.2670000000003,1.2764000000000053,341.15,12,19,12
CHEMBL3234651,765.9849999999998,5.6280000000000046,182.84999999999997,6,9,6
CHEMBL3238181,372.38000000000005,5.044200000000003,84.48,2,4,5
CHEMBL3238183,392.4580000000001,5.858200000000004,58.2,2,2,5
CHEMBL3238186,428.43800000000005,6.136400000000004,58.2,2,2,5
CHEMBL3238187,404.5540000000002,6.391200000000006,58.2,2,2,5
CHEMBL3238188,352.47800000000007,5.322800000000004,58.2,2,2,7
CHEMBL3238191,606.7640000000001,6.524800000000007,117.28000000000002,2,6,5
CHEMBL3238193,650.7260000000001,6.613600000000006,98.82,2,4,7
CHEMBL3238194,614.7460000000002,6.335400000000007,98.82,2,4,7
CHEMBL3238195,594.6680000000002,5.521400000000006,125.10000000000001,2,6,7
CHEMBL3238196,626.842,6.868400000000008,98.82,2,4,7
CHEMBL3238197,574.7660000000003,5.800000000000006,98.82,2,4,9
CHEMBL3238200,331.37100000000004,4.392500000000003,55.4,1,3,4
CHEMBL3238201,392.4580000000001,5.858200000000004,58.2,2,2,5
